R,G,B,SPAD,Nitorgen,Category,Normalized R,Normalized G,Normalized B,SR B/R,NDVI (cam),Excess NIRB
149.27910927,180.28465062,209.35449227,65.9537272139702,3.46307762533962,High,0.276997686887919,0.334530608116192,0.38847170499589,60.075383,0.167511863757416,89.14522465
156.13014786,187.67223144,217.32206111,57.8695237023496,3.1971073298073,Normal,0.278245138896319,0.334457417864159,0.387297443239521,61.19191325,0.163854736376497,90.84174292
153.74109617,185.49609976,216.10027712,61.874008814918,3.3288548900108,High,0.276842647274692,0.33402410023085,0.389133252494458,62.35918095,0.168610613775498,92.96335831
156.10303484,187.35972274,215.98958411,66.2072197340682,3.47141752925084,High,0.279028298225443,0.334898451178203,0.386073250596353,59.88654927,0.160945276041735,88.51641064
132.11550311,162.87863398,190.26231865,64.0210089767046,3.39949119533358,High,0.272259135447314,0.335654749263697,0.392086115288989,58.14681554,0.180368535349459,85.53050021
153.92487668,186.18054487,216.74229533,68.0839657916901,3.5331624745466,High,0.276421851098602,0.334347325536618,0.389230823364779,62.81741865,0.169471222146172,93.37916911
154.15860168,185.26821251,215.24958467,64.607988320518,3.41880281574504,High,0.277925294814841,0.334011349483722,0.388063355701436,61.09098299,0.165375281997997,91.07235515
153.08074828,185.46544434,218.1401847,64.3383496384061,3.40993170310356,High,0.274985619402008,0.333159660261255,0.391854720336737,65.05943642,0.175257995010495,97.73417678
147.17345252,176.53756065,203.04185253,62.6098713768188,3.35306476829734,High,0.279397535549089,0.335143047423956,0.385459417026955,55.86840001,0.159525866529516,82.37269189
148.91315976,179.44205527,205.85938028,61.3479900930065,3.31154887405991,High,0.27875157486775,0.33589882576284,0.38534959936941,56.94622052,0.160514735761622,83.36354553
142.51558176,173.33882806,201.13321201,61.7223567649121,3.32386553756561,High,0.275665365556592,0.335286224932091,0.389048409511318,58.61763025,0.17057423541906,86.4120142
149.42376947,180.38339564,208.80716511,60.9777411472108,3.29936768374323,Normal,0.277422565806905,0.33490270406716,0.387674730125935,59.38339564,0.165768474767883,87.80716511
148.64322197,181.1047956,214.50656836,64.8496418144416,3.42675321569513,High,0.273113402831516,0.332757500408629,0.394129096759855,65.86334639,0.18136688535645,99.26511915
142.53335701,175.65220117,209.03545684,61.4934636729097,3.31633495483873,High,0.270348398393401,0.333166160236114,0.396485441370485,66.50209983,0.189158131239632,99.8853555
151.11395081,180.83892732,207.68344863,61.3995777695163,3.31324610861709,High,0.280029240650448,0.335112590373159,0.384858168976393,56.56949782,0.157664180142587,83.41401913
150.61359627,180.18254703,206.27501703,59.3694333646972,3.24645435769854,Normal,0.280435084575117,0.335491011878739,0.384073903546144,55.66142076,0.155963005502815,81.75389076
145.4963738,173.69706337,197.14294773,57.8364950151124,3.1960206859972,Normal,0.281786017904159,0.336402911841358,0.381811070254484,51.64657393,0.150731602255633,75.09245829
144.16238358,175.53137927,203.64238197,58.9643118520757,3.23312585993329,Normal,0.275468042876313,0.335408476955807,0.38912348016788,59.47999839,0.171015478456546,87.59100109
143.00314496,173.35921876,201.48346881,64.2497182757624,3.40701573127258,High,0.276150035351912,0.334769940916647,0.389080023731441,58.48032385,0.16976080205266,86.6045739
142.06829523,170.6661397,195.30536272,58.6856774734118,3.22395878887525,Normal,0.279640090967586,0.335930650491235,0.384429258541179,53.23706749,0.157798530606945,77.87629051
143.47595924,176.81960311,208.57804474,60.067341241348,3.26941552684035,Normal,0.271285912771186,0.334332439243674,0.394381647985141,65.1020855,0.184920735921238,96.86052713
142.53327118,173.87199627,203.06686866,68.3368696657296,3.5414830120025,High,0.27438097497845,0.334708994349568,0.390910030671982,60.53359748,0.175155014428017,89.72846987
145.98099067,176.71689878,205.25748744,57.659524063118,3.19019834167658,Normal,0.276502517182272,0.334719384469531,0.388778098348197,59.27649677,0.168764245560351,87.81708543
135.93816734,164.78169453,189.22970528,59.8528766762461,3.2623596426485,Normal,0.277453387969587,0.336323788361571,0.386222823668842,53.29153794,0.163889308960968,77.73954869
155.01558829,183.74061353,209.6809402,63.6844135189562,3.38841720477366,High,0.282649690207063,0.335025838792114,0.382324471000824,54.66535191,0.149892712541954,80.60567858
145.95801497,174.30863889,198.67366097,58.9309029985156,3.23202670865116,Normal,0.281261661117646,0.335893423402847,0.382844915479507,52.715646,0.152962277353686,77.08066808
157.19696063,187.63423901,215.29488833,58.3569715386705,3.21314436362226,Normal,0.280645668905926,0.334985716680366,0.384368614413709,58.0979277,0.155971004096358,85.75857702
156.26919513,188.95260789,221.75266967,63.7193797846229,3.38956759491409,High,0.275619454944036,0.333264753514418,0.391115791541546,65.48347454,0.17322668511422,98.28353632
143.91237142,174.19133581,200.6995487,61.8779644770513,3.32898503129499,High,0.277392961156392,0.335756057462953,0.386850981380656,56.78717728,0.164785876414912,83.29539017
